model,prompt_variant,task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,count,failures,error_rate
Qwen/Qwen2.5-0.5B,current_direct,weighted_aggregation,medium,small,long,8,8,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,multiplicative_relation,easy,medium,short,2,2,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,multiplicative_relation,easy,small,short,7,7,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,multiplicative_relation,hard,large,long,7,7,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,multiplicative_relation,hard,medium,long,1,1,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,multiplicative_relation,medium,large,medium,4,4,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,multiplicative_relation,medium,medium,medium,2,2,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,multiplicative_relation,medium,small,medium,2,2,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,ratio_change,easy,medium,short,4,4,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,ratio_change,easy,small,short,5,5,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,ratio_change,hard,medium,long,3,3,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,ratio_change,hard,small,long,5,5,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,ratio_change,medium,medium,medium,3,3,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,ratio_change,medium,small,medium,5,5,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,temporal_numeric_constraint,easy,medium,long,5,5,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,temporal_numeric_constraint,easy,small,long,4,4,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,temporal_numeric_constraint,hard,medium,long,5,5,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,temporal_numeric_constraint,hard,small,long,3,3,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,temporal_numeric_constraint,medium,medium,long,6,6,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,temporal_numeric_constraint,medium,small,long,2,2,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,weighted_aggregation,easy,small,long,9,9,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,weighted_aggregation,hard,small,long,8,8,1.0
Qwen/Qwen2.5-0.5B,final_answer_only,weighted_aggregation,medium,small,long,8,8,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,multiplicative_relation,easy,medium,short,2,2,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,multiplicative_relation,easy,small,short,7,7,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,multiplicative_relation,hard,large,long,7,7,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,multiplicative_relation,hard,medium,long,1,1,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,multiplicative_relation,medium,large,medium,4,4,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,multiplicative_relation,medium,medium,medium,2,2,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,multiplicative_relation,medium,small,medium,2,2,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,ratio_change,easy,medium,short,4,4,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,ratio_change,easy,small,short,5,5,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,ratio_change,hard,medium,long,3,3,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,ratio_change,hard,small,long,5,5,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,ratio_change,medium,medium,medium,3,3,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,ratio_change,medium,small,medium,5,5,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,temporal_numeric_constraint,easy,medium,long,5,5,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,temporal_numeric_constraint,easy,small,long,4,4,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,temporal_numeric_constraint,hard,medium,long,5,5,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,temporal_numeric_constraint,hard,small,long,3,3,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,temporal_numeric_constraint,medium,medium,long,6,6,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,temporal_numeric_constraint,medium,small,long,2,2,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,weighted_aggregation,easy,small,long,9,9,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,weighted_aggregation,hard,small,long,8,8,1.0
Qwen/Qwen2.5-0.5B,step_by_step_final_answer,weighted_aggregation,medium,small,long,8,8,1.0
