id,prompt,prompt_zh,task_family,difficulty_bucket,answer,parsed_prediction,audit_category,number_token_count,has_equation,human_check_prompt,raw_continuation
dev_diagnostic-0031,"Start from 104 and apply ordered changes [15, -30, -28]. What is the final value?",从 104 开始，按顺序应用变化 [15、-30、-28]。最终值是多少？,temporal_numeric_constraint,medium,61.0,104.0,temporal_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 104
dev_diagnostic-0032,A metric starts at 74 and then has a 5% decrease. What is the final value?,一个指标从 74 开始，随后下降 5%。最终值是多少？,ratio_change,hard,70.3,3.0,percent_change_calculation_error,8,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 74 - 5% of 74 = 74 - 0.05 * 74 = 74 - 3
dev_diagnostic-0033,"Multiply the related counts 7, 13, 17, 9. What is the product?",将相关数量 7、13、17、9 相乘，乘积是多少？,multiplicative_relation,hard,13923.0,1231.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 1231
dev_diagnostic-0034,"A weighted metric uses weight 0.043 with value 72, weight 0.174 with value 21, weight 0.391 with value 83, weight 0.392 with value 104. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.043 with value 72, weight 0.174 with value 21, weight 0.391 with value 83, weight 0.392 with value 104。加权聚合值是多少？",weighted_aggregation,hard,79.971,104.00000000000001,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 104.00000000000001
dev_diagnostic-0035,"Start from 97 and apply ordered changes [35, 2, -15, -13]. The value cannot go below 50. The value cannot exceed 220. What is the final value?","Start from 97 and apply ordered changes [35, 2, -15, -13]. The value cannot go below 50. The value cannot exceed 220. What is the final value?",temporal_numeric_constraint,hard,106.0,100.0,temporal_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 100
dev_diagnostic-0036,A metric starts at 179 and then has a 5% increase. What is the final value?,一个指标从 179 开始，随后上升 5%。最终值是多少？,ratio_change,easy,187.95,185.0,percent_change_calculation_error,5,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 179 + 179 * 0.05 = 185.5 | The final value is 185.
dev_diagnostic-0038,"A weighted metric uses weight 0.7 with value 23, weight 0.3 with value 90. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.7 with value 23, weight 0.3 with value 90。加权聚合值是多少？",weighted_aggregation,easy,43.1,161.1,weighted_formula_error,5,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 23 * 0.7 + 90 * 0.3 = 161.1
dev_diagnostic-0039,"Start from 34 and apply ordered changes [37, 16]. What is the final value?",从 34 开始，按顺序应用变化 [37、16]。最终值是多少？,temporal_numeric_constraint,easy,87.0,37.0,temporal_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 37
dev_diagnostic-0040,A metric starts at 73 and then has a 20% decrease. What is the final value?,一个指标从 73 开始，随后下降 20%。最终值是多少？,ratio_change,medium,58.4,73.0,percent_change_calculation_error,7,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 73 - 20% of 73 | = 73 - 0.20 * 73 | = 73
dev_diagnostic-0041,"Multiply the related counts 13, 17, 11. What is the product?",将相关数量 13、17、11 相乘，乘积是多少？,multiplicative_relation,medium,2431.0,2002.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 2002
dev_diagnostic-0043,"Start from 180 and apply ordered changes [29, 0, 23]. What is the final value?",从 180 开始，按顺序应用变化 [29、0、23]。最终值是多少？,temporal_numeric_constraint,medium,232.0,180.0,temporal_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 180
dev_diagnostic-0045,"Multiply the related counts 8, 8, 13, 6. What is the product?",将相关数量 8、8、13、6 相乘，乘积是多少？,multiplicative_relation,hard,4992.0,544.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 544
dev_diagnostic-0047,"Start from 72 and apply ordered changes [28, -25, 22, -17]. The value cannot go below 20. The value cannot exceed 180. What is the final value?","Start from 72 and apply ordered changes [28, -25, 22, -17]. The value cannot go below 20. The value cannot exceed 180. What is the final value?",temporal_numeric_constraint,hard,80.0,100.0,temporal_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 100
dev_diagnostic-0053,"Multiply the related counts 13, 13, 14. What is the product?",将相关数量 13、13、14 相乘，乘积是多少？,multiplicative_relation,medium,2366.0,182.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 182
dev_diagnostic-0057,"Multiply the related counts 7, 11, 2, 5. What is the product?",将相关数量 7、11、2、5 相乘，乘积是多少？,multiplicative_relation,hard,770.0,385.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 385
dev_diagnostic-0065,"Multiply the related counts 2, 9, 14. What is the product?",将相关数量 2、9、14 相乘，乘积是多少？,multiplicative_relation,medium,252.0,288.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 288
dev_diagnostic-0069,"Multiply the related counts 10, 4, 14, 18. What is the product?",将相关数量 10、4、14、18 相乘，乘积是多少？,multiplicative_relation,hard,10080.0,720.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 720
